,car,price,body,mileage,engV,engType,registration,year,model,drive
532,Aston Martin,125000.0,sedan,18,6.0,Petrol,yes,2012,Rapide,rear
533,Land Rover,0.0,crossover,18,4.4,Diesel,yes,2015,Range Rover,full
534,Toyota,20900.0,sedan,18,2.5,Other,yes,2013,Camry,front
535,Mercedes-Benz,125000.0,sedan,18,3.0,Diesel,yes,2015,S 350,full
536,Volkswagen,18000.0,vagon,18,1.6,Diesel,yes,2011,Passat B7,front
537,Hyundai,20700.0,sedan,18,2.4,Gas,yes,2014,Sonata,front
538,Nissan,4000.0,hatch,18,1.8,Other,no,2015,Leaf,
539,Nissan,14200.0,sedan,18,1.8,Other,yes,2014,Leaf,front
540,VAZ,5000.0,crossover,18,1.6,Gas,yes,1989,2121,full
541,Mercedes-Benz,200000.0,van,19,3.5,Petrol,yes,2013,Sprinter 324 ����.,rear
542,VAZ,3300.0,other,19,1.8,Other,yes,2007,2107,rear
543,Hyundai,10000.0,sedan,19,1.4,Petrol,yes,2011,Accent,front
544,Hyundai,12800.0,hatch,19,1.4,Petrol,yes,2013,i30,front
545,Ford,13266.0,hatch,19,1.8,Other,yes,2013,Focus Electric,front
546,Opel,13000.0,sedan,19,2.2,Petrol,yes,2007,Vectra C,front
547,BMW,85900.0,crossover,19,3.0,Diesel,yes,2015,X6,full
548,Volkswagen,52300.0,crossover,19,3.0,Diesel,yes,2014,Touareg,full
549,Land Rover,95000.0,crossover,19,5.0,Petrol,yes,2014,Range Rover Sport,full
550,BMW,71500.0,crossover,19,2.5,Diesel,yes,2015,X5,full
551,Ford,11500.0,hatch,19,1.4,Petrol,yes,2011,Focus,front
552,Renault,8299.0,sedan,19,1.2,Petrol,yes,2013,Logan,front
553,Ford,10000.0,hatch,19,1.0,Petrol,yes,2013,Fiesta,front
554,Nissan,17000.0,hatch,20,1.8,Other,yes,2014,Leaf,front
555,Toyota,28900.0,crossover,20,2.5,Petrol,yes,2013,Rav 4,full
556,Bentley,85000.0,other,20,6.0,Petrol,yes,2008,Continental,full
557,Hyundai,28888.0,crossover,20,2.2,Diesel,yes,2013,Santa FE,full
558,Bentley,85000.0,other,20,6.0,Petrol,yes,2008,Continental,full
559,Porsche,81000.0,sedan,20,3.6,Petrol,yes,2014,Panamera,full
560,Renault,17500.0,crossover,20,1.5,Diesel,yes,2016,Duster,full
561,Tesla,59000.0,sedan,20,1.0,Other,yes,2013,Model S,rear
562,Infiniti,49900.0,crossover,20,3.0,Diesel,yes,2015,QX70,full
563,Seat,19500.0,sedan,20,1.4,Petrol,yes,2015,Leon,front
564,Citroen,8499.0,other,20,1.2,Petrol,yes,2013,C-Elysee,front
565,Mercedes-Benz,0.0,sedan,20,3.0,Diesel,yes,2015,S 350,full
566,Bentley,85000.0,other,20,6.0,Petrol,yes,2008,Continental,full
567,Daewoo,5600.0,sedan,20,1.5,Petrol,yes,2013,Lanos,front
568,Daewoo,2400.0,hatch,20,1.6,Gas,yes,1998,Nubira,front
569,Nissan,12300.0,hatch,20,1.2,Petrol,yes,2013,Micra,front
570,Smart,6750.0,other,20,1.0,Petrol,yes,2011,Fortwo,
571,Toyota,38500.0,crossover,20,5.7,Gas,yes,2014,Tundra,full
572,ZAZ,5400.0,sedan,20,1.5,Petrol,yes,2013,Lanos,front
573,Audi,68000.0,crossover,20,3.0,Petrol,yes,2014,Q5,full
574,Toyota,16900.0,hatch,20,1.6,Petrol,yes,2014,Auris,front
575,Mazda,4999.0,sedan,20,2.0,Gas,yes,1995,Xedos 9,front
576,BMW,75000.0,crossover,20,3.0,Diesel,yes,2014,X5,full
577,Honda,25000.0,crossover,20,2.0,Petrol,yes,2012,CR-V,full
578,BMW,57000.0,other,20,3.5,Petrol,yes,2013,X6,
579,Land Rover,89900.0,crossover,20,3.0,Diesel,yes,2014,Range Rover Sport,full
580,BYD,6700.0,hatch,20,1.5,Petrol,yes,2012,F3R,front
581,UAZ,5500.0,crossover,20,3.0,Gas,yes,1972,469,full
582,Volkswagen,35000.0,crossover,20,2.0,Diesel,yes,2014,Tiguan,full
583,Mercedes-Benz,0.0,sedan,20,3.0,Diesel,yes,2015,S 350,full
584,Mercedes-Benz,0.0,sedan,20,3.0,Diesel,yes,2015,S 350,full
585,ZAZ,400.0,sedan,20,1.8,Petrol,yes,1990,968,rear
586,Mitsubishi,24000.0,crossover,20,2.5,Diesel,yes,2013,Pajero Sport,full
587,Lamborghini,130000.0,other,20,5.0,Petrol,yes,2008,Gallardo,full
588,VAZ,703.95,sedan,20,1.3,Petrol,yes,1985,2106,rear
589,VAZ,1500.0,hatch,20,1.5,Petrol,yes,1990,2108,front
590,Hyundai,5850.0,crossover,20,2.0,Diesel,yes,2014,IX35,full
591,Skoda,8800.0,sedan,20,1.6,Petrol,yes,2007,Octavia A5,front
592,ZAZ,5400.0,sedan,20,1.5,Gas,yes,2013,Forza,front
593,VAZ,750.0,sedan,20,1.5,Petrol,yes,1975,2103,rear
594,Nissan,17700.0,hatch,21,0.11,Other,yes,2014,Leaf,front
595,Toyota,26500.0,crossover,21,2.0,Petrol,yes,2013,Rav 4,full
596,Toyota,27700.0,sedan,21,2.5,Petrol,yes,2015,Camry,front
597,Ford,19000.0,sedan,21,2.0,Petrol,yes,2012,Mondeo,front
598,Mercedes-Benz,70000.0,other,21,6.0,Petrol,yes,2008,S 600,rear
599,Land Rover,162000.0,crossover,21,4.4,Diesel,yes,2015,Range Rover,full
600,Renault,8700.0,hatch,21,1.6,Petrol,yes,2011,Sandero,front
601,Chery,4100.0,sedan,21,1.3,Petrol,yes,2009,Jaggi,front
602,Geely,8500.0,sedan,21,1.5,Gas,yes,2014,Emgrand 7 (EC7),front
603,Nissan,19500.0,other,21,3.5,Petrol,yes,2008,350Z,rear
604,Toyota,0.0,sedan,21,2.5,Petrol,yes,2015,Camry,front
605,Nissan,14700.0,hatch,21,1.8,Other,yes,2013,Leaf,front
606,SsangYong,16200.0,crossover,21,2.0,Diesel,yes,2014,Kyron,full
607,Audi,69999.0,crossover,21,3.0,Petrol,yes,2015,A6 Allroad,full
608,Renault,15000.0,sedan,21,1.5,Diesel,yes,2014,Fluence,front
609,Ford,11990.0,van,21,1.4,Petrol,yes,2013,B-Max,front
610,VAZ,1350.0,hatch,21,1.3,Petrol,yes,1988,2108,front
611,Nissan,3800.0,hatch,21,1.8,Other,no,2013,Leaf,
612,MG,8199.0,hatch,21,1.5,Petrol,yes,2014,5,front
613,Nissan,14999.0,hatch,21,1.8,Other,yes,2013,Leaf,front
614,Porsche,0.0,sedan,22,4.8,Petrol,yes,2014,Panamera,full
615,Mercedes-Benz,0.0,other,22,3.0,Diesel,yes,2015,S 350,full
616,Nissan,15700.0,hatch,22,0.11,Other,yes,2013,Leaf,front
617,Toyota,32000.0,sedan,22,2.5,Petrol,yes,2015,Camry,front
618,Lexus,0.0,crossover,22,4.5,Diesel,yes,2016,LX 450,full
619,Nissan,15000.0,hatch,22,1.8,Other,yes,2014,Leaf,front
620,Porsche,112000.0,hatch,22,4.8,Petrol,yes,2014,Panamera,full
621,Toyota,32000.0,sedan,22,2.5,Petrol,yes,2015,Camry,front
622,Volkswagen,20200.0,hatch,22,1.2,Petrol,yes,2014,Golf VII,front
623,Volkswagen,21000.0,hatch,22,1.2,Other,yes,2014,Golf VII,front
624,Tesla,61900.0,sedan,22,1.8,Other,yes,2013,Model S,rear
